#  wavelength_um     transmission
#
      6.5030e-01    3.600000e-03
      6.5073e-01    3.500000e-03
      6.5116e-01    3.600000e-03
      6.5160e-01    3.300000e-03
      6.5203e-01    3.500000e-03
      6.5246e-01    3.500000e-03
      6.5289e-01    3.600000e-03
      6.5333e-01    3.500000e-03
      6.5376e-01    3.700000e-03
      6.5419e-01    3.400000e-03
      6.5463e-01    3.600000e-03
      6.5506e-01    3.700000e-03
      6.5549e-01    3.600000e-03
      6.5592e-01    3.600000e-03
      6.5636e-01    3.600000e-03
      6.5679e-01    3.400000e-03
      6.5722e-01    3.500000e-03
      6.5766e-01    3.600000e-03
      6.5809e-01    3.800000e-03
      6.5852e-01    3.700000e-03
      6.5895e-01    3.700000e-03
      6.5939e-01    3.800000e-03
      6.5982e-01    3.600000e-03
      6.6025e-01    3.600000e-03
      6.6069e-01    3.600000e-03
      6.6112e-01    3.800000e-03
      6.6155e-01    3.900000e-03
      6.6199e-01    3.600000e-03
      6.6242e-01    3.800000e-03
      6.6285e-01    3.700000e-03
      6.6329e-01    3.600000e-03
      6.6372e-01    3.600000e-03
      6.6415e-01    3.700000e-03
      6.6459e-01    3.600000e-03
      6.6502e-01    3.800000e-03
      6.6546e-01    3.600000e-03
      6.6589e-01    3.600000e-03
      6.6632e-01    4.000000e-03
      6.6676e-01    3.800000e-03
      6.6719e-01    3.900000e-03
      6.6762e-01    3.700000e-03
      6.6806e-01    3.800000e-03
      6.6849e-01    3.600000e-03
      6.6893e-01    3.900000e-03
      6.6936e-01    3.900000e-03
      6.6979e-01    3.700000e-03
      6.7023e-01    3.900000e-03
      6.7066e-01    4.000000e-03
      6.7110e-01    4.000000e-03
      6.7153e-01    3.700000e-03
      6.7196e-01    3.900000e-03
      6.7240e-01    3.800000e-03
      6.7283e-01    3.900000e-03
      6.7327e-01    3.900000e-03
      6.7370e-01    4.000000e-03
      6.7414e-01    3.900000e-03
      6.7457e-01    3.900000e-03
      6.7500e-01    4.200000e-03
      6.7544e-01    4.200000e-03
      6.7587e-01    3.900000e-03
      6.7631e-01    4.000000e-03
      6.7674e-01    4.100000e-03
      6.7718e-01    4.000000e-03
      6.7761e-01    4.200000e-03
      6.7805e-01    4.100000e-03
      6.7848e-01    4.000000e-03
      6.7892e-01    4.100000e-03
      6.7935e-01    4.100000e-03
      6.7979e-01    4.200000e-03
      6.8022e-01    4.100000e-03
      6.8066e-01    4.200000e-03
      6.8109e-01    4.200000e-03
      6.8153e-01    4.200000e-03
      6.8196e-01    4.300000e-03
      6.8240e-01    4.600000e-03
      6.8283e-01    4.400000e-03
      6.8327e-01    4.300000e-03
      6.8370e-01    4.500000e-03
      6.8414e-01    4.500000e-03
      6.8457e-01    4.700000e-03
      6.8501e-01    4.800000e-03
      6.8544e-01    4.700000e-03
      6.8588e-01    4.900000e-03
      6.8631e-01    5.000000e-03
      6.8675e-01    5.200000e-03
      6.8718e-01    5.500000e-03
      6.8762e-01    5.600000e-03
      6.8806e-01    6.000000e-03
      6.8849e-01    6.500000e-03
      6.8893e-01    7.000000e-03
      6.8936e-01    7.800000e-03
      6.8980e-01    8.900000e-03
      6.9023e-01    1.020000e-02
      6.9067e-01    1.200000e-02
      6.9111e-01    1.460000e-02
      6.9154e-01    1.780000e-02
      6.9198e-01    2.240000e-02
      6.9241e-01    2.860000e-02
      6.9285e-01    3.620000e-02
      6.9329e-01    4.620000e-02
      6.9372e-01    5.800000e-02
      6.9416e-01    7.260000e-02
      6.9459e-01    9.000000e-02
      6.9503e-01    1.097000e-01
      6.9547e-01    1.333000e-01
      6.9590e-01    1.603000e-01
      6.9634e-01    1.903000e-01
      6.9677e-01    2.235000e-01
      6.9721e-01    2.599000e-01
      6.9765e-01    2.983000e-01
      6.9808e-01    3.379000e-01
      6.9852e-01    3.768000e-01
      6.9896e-01    4.133000e-01
      6.9939e-01    4.465000e-01
      6.9983e-01    4.763000e-01
      7.0027e-01    4.998000e-01
      7.0070e-01    5.192000e-01
      7.0114e-01    5.346000e-01
      7.0158e-01    5.467000e-01
      7.0201e-01    5.562000e-01
      7.0245e-01    5.646000e-01
      7.0289e-01    5.718000e-01
      7.0332e-01    5.784000e-01
      7.0376e-01    5.840000e-01
      7.0420e-01    5.891000e-01
      7.0463e-01    5.938000e-01
      7.0507e-01    5.982000e-01
      7.0551e-01    6.024000e-01
      7.0594e-01    6.055000e-01
      7.0638e-01    6.086000e-01
      7.0682e-01    6.113000e-01
      7.0726e-01    6.135000e-01
      7.0769e-01    6.148000e-01
      7.0813e-01    6.155000e-01
      7.0857e-01    6.165000e-01
      7.0900e-01    6.174000e-01
      7.0944e-01    6.173000e-01
      7.0988e-01    6.173000e-01
      7.1032e-01    6.171000e-01
      7.1075e-01    6.168000e-01
      7.1119e-01    6.161000e-01
      7.1163e-01    6.155000e-01
      7.1207e-01    6.151000e-01
      7.1250e-01    6.143000e-01
      7.1294e-01    6.130000e-01
      7.1338e-01    6.114000e-01
      7.1382e-01    6.106000e-01
      7.1425e-01    6.067000e-01
      7.1469e-01    6.011000e-01
      7.1513e-01    5.956000e-01
      7.1557e-01    5.909000e-01
      7.1601e-01    5.852000e-01
      7.1644e-01    5.804000e-01
      7.1688e-01    5.754000e-01
      7.1732e-01    5.708000e-01
      7.1776e-01    5.661000e-01
      7.1820e-01    5.641000e-01
      7.1863e-01    5.660000e-01
      7.1907e-01    5.682000e-01
      7.1951e-01    5.698000e-01
      7.1995e-01    5.719000e-01
      7.2039e-01    5.739000e-01
      7.2082e-01    5.752000e-01
      7.2126e-01    5.775000e-01
      7.2170e-01    5.795000e-01
      7.2214e-01    5.806000e-01
      7.2258e-01    5.820000e-01
      7.2302e-01    5.823000e-01
      7.2345e-01    5.835000e-01
      7.2389e-01    5.842000e-01
      7.2433e-01    5.853000e-01
      7.2477e-01    5.863000e-01
      7.2521e-01    5.875000e-01
      7.2565e-01    5.885000e-01
      7.2608e-01    5.894000e-01
      7.2652e-01    5.905000e-01
      7.2696e-01    5.911000e-01
      7.2740e-01    5.920000e-01
      7.2784e-01    5.928000e-01
      7.2828e-01    5.938000e-01
      7.2872e-01    5.938000e-01
      7.2916e-01    5.945000e-01
      7.2960e-01    5.948000e-01
      7.3003e-01    5.953000e-01
      7.3047e-01    5.970000e-01
      7.3091e-01    5.992000e-01
      7.3135e-01    6.012000e-01
      7.3179e-01    6.034000e-01
      7.3223e-01    6.050000e-01
      7.3267e-01    6.066000e-01
      7.3311e-01    6.084000e-01
      7.3355e-01    6.102000e-01
      7.3399e-01    6.119000e-01
      7.3442e-01    6.118000e-01
      7.3486e-01    6.113000e-01
      7.3530e-01    6.112000e-01
      7.3574e-01    6.107000e-01
      7.3618e-01    6.103000e-01
      7.3662e-01    6.096000e-01
      7.3706e-01    6.090000e-01
      7.3750e-01    6.092000e-01
      7.3794e-01    6.083000e-01
      7.3838e-01    6.083000e-01
      7.3882e-01    6.088000e-01
      7.3926e-01    6.077000e-01
      7.3970e-01    6.079000e-01
      7.4014e-01    6.083000e-01
      7.4058e-01    6.081000e-01
      7.4102e-01    6.077000e-01
      7.4146e-01    6.078000e-01
      7.4190e-01    6.071000e-01
      7.4234e-01    6.074000e-01
      7.4278e-01    6.065000e-01
