# w_um p
 51.5003 0.00000
 52.5003 0.00004
 53.5003 0.00007
 54.5003 0.00034
 55.5003 0.00330
 56.5003 0.02106
 57.5003 0.05895
 58.5003 0.11543
 59.5003 0.18741
 60.5003 0.26531
 61.5003 0.31905
 62.5003 0.38207
 63.5003 0.43215
 64.5003 0.49288
 65.5003 0.50721
 66.5003 0.50061
 67.5003 0.48909
 68.5003 0.44740
 69.5003 0.43268
 70.5003 0.43451
 71.5003 0.44970
 72.5003 0.45742
 73.5003 0.46745
 74.5003 0.48189
 75.5003 0.49008
 76.5003 0.47934
 77.5003 0.45133
 78.5003 0.39638
 79.5003 0.37826
 80.5003 0.34631
 81.5003 0.29867
 82.5003 0.23873
 83.5003 0.17893
 84.5003 0.13015
 85.5003 0.10116
 86.5003 0.07866
 87.5003 0.05737
 88.5003 0.04062
 89.5003 0.02807
 90.5003 0.02104
 91.5003 0.01769
 92.5003 0.01519
 93.5003 0.01254
 94.5003 0.00994
 95.5003 0.00793
 96.5003 0.00642
 97.5003 0.00520
 98.5003 0.00443
 99.5003 0.00362
100.5003 0.00281
101.5003 0.00207
102.5003 0.00156
103.5003 0.00130
104.5003 0.00108
105.5003 0.00086
106.5003 0.00066
107.5003 0.00057
108.5003 0.00047
109.5003 0.00037
110.5003 0.00031
111.5003 0.00028
112.5003 0.00025
113.5003 0.00022
114.5003 0.00018
115.5003 0.00015
116.5003 0.00013
117.5003 0.00011
118.5003 0.00010
119.5003 0.00009
120.5003 0.00007
121.5003 0.00004
122.5003 0.00003
123.5003 0.00002
124.5003 0.00002
125.5003 0.00001
126.5003 0.00001
127.5003 0.00001
128.5003 0.00000
