# w_um p
338.1805 0.00000
339.3281 0.00001
340.4834 0.00001
341.5300 0.00001
342.7004 0.00001
343.8789 0.00002
345.0655 0.00002
346.2603 0.00002
347.3428 0.00004
348.5535 0.00005
349.7726 0.00006
351.0003 0.00009
352.1126 0.00014
353.3568 0.00019
354.6099 0.00022
355.8718 0.00027
357.1428 0.00034
358.2945 0.00033
359.5828 0.00028
360.8805 0.00029
362.1876 0.00034
363.5041 0.00039
364.6973 0.00046
366.0322 0.00043
367.3769 0.00043
368.7315 0.00043
369.9593 0.00048
371.3330 0.00047
372.7171 0.00052
374.1114 0.00056
375.5163 0.00069
376.7897 0.00096
378.2148 0.00112
379.6507 0.00136
381.0975 0.00158
382.5554 0.00208
383.8771 0.00257
385.3564 0.00315
386.8471 0.00403
388.3495 0.00512
389.7116 0.00644
391.2363 0.00847
392.7729 0.01143
394.3217 0.01510
395.8828 0.01958
397.2983 0.02529
398.8831 0.03295
400.4805 0.04212
402.0908 0.05378
403.7141 0.06942
405.1863 0.08847
406.8348 0.11264
408.4967 0.14852
410.1722 0.19129
411.6920 0.24172
413.3939 0.28245
415.1100 0.31820
416.8403 0.35031
418.5851 0.36242
420.1680 0.37113
421.9409 0.38239
423.7288 0.39407
425.5319 0.40269
427.1678 0.41460
429.0004 0.42098
430.8487 0.43083
432.7131 0.43092
434.5936 0.43544
436.3001 0.42638
438.2120 0.42480
440.1408 0.43349
442.0866 0.44092
444.0497 0.44289
445.8314 0.43950
447.8280 0.43979
449.8425 0.41864
451.8752 0.41303
453.7205 0.41141
455.7885 0.40662
457.8754 0.40362
459.9816 0.41613
462.1072 0.42916
464.0371 0.43220
466.2004 0.44633
468.3840 0.43759
470.5882 0.43106
472.8132 0.41599
474.8338 0.41206
477.0992 0.39425
479.3863 0.39123
481.6955 0.38304
483.7929 0.39336
486.1448 0.40476
488.5197 0.41159
490.9180 0.41226
493.3399 0.40431
495.5401 0.40274
498.0079 0.39847
500.5005 0.39899
503.0181 0.39734
505.5611 0.39097
507.8720 0.38140
510.4645 0.38739
513.0836 0.39384
515.7297 0.38327
518.1347 0.38769
520.8333 0.38882
523.5602 0.37562
526.3157 0.37705
529.1005 0.38658
531.6321 0.40610
534.4735 0.39906
537.3455 0.40301
540.2485 0.40703
543.1830 0.39698
545.8515 0.39420
548.8474 0.37992
551.8763 0.37474
554.9389 0.38161
557.7244 0.36893
560.8524 0.37980
564.0157 0.40715
567.2149 0.40961
570.4506 0.41452
573.3944 0.40972
576.7012 0.39834
580.0464 0.38720
583.4305 0.39116
586.5102 0.38633
589.9705 0.40152
593.4718 0.41527
597.0149 0.40148
600.6006 0.40201
603.8647 0.40499
607.5334 0.40170
611.2469 0.17279
615.0061 0.09557
618.8118 0.06313
622.2775 0.04576
626.1740 0.03538
630.1197 0.02732
634.1154 0.02175
637.7551 0.01767
641.8485 0.01460
645.9948 0.01188
650.1950 0.00960
654.4502 0.00800
658.3278 0.00724
662.6905 0.00624
667.1114 0.00530
671.5916 0.00490
676.1325 0.00438
680.2721 0.00384
684.9315 0.00339
689.6551 0.00291
694.4444 0.00245
698.8120 0.00215
703.7297 0.00192
708.7172 0.00180
713.7758 0.00154
718.9072 0.00142
723.5890 0.00122
728.8629 0.00117
734.2143 0.00106
739.6449 0.00094
745.1564 0.00088
750.1875 0.00081
755.8578 0.00068
761.6146 0.00062
767.4597 0.00059
772.7975 0.00052
778.8161 0.00044
784.9293 0.00041
791.1392 0.00037
797.4481 0.00036
803.2128 0.00033
809.7165 0.00030
816.3265 0.00028
823.0452 0.00027
829.8755 0.00024
836.1204 0.00024
843.1703 0.00022
850.3401 0.00019
857.6329 0.00016
864.3042 0.00014
871.8395 0.00013
879.5074 0.00012
887.3114 0.00012
895.2551 0.00009
902.5270 0.00009
910.7468 0.00008
919.1176 0.00008
927.6437 0.00000
