# w_um p
237.0229 0.00000
237.5861 0.00001
238.0952 0.00000
238.6634 0.00000
239.2344 0.00000
239.8081 0.00001
240.3846 0.00000
240.9058 0.00001
241.4875 0.00001
242.0721 0.00001
242.6595 0.00000
243.1906 0.00000
243.7835 0.00001
244.3792 0.00000
244.9779 0.00001
245.5795 0.00001
246.1235 0.00001
246.7308 0.00000
247.3410 0.00001
247.9543 0.00001
248.5707 0.00001
249.1280 0.00001
249.7502 0.00001
250.3755 0.00001
251.0040 0.00001
251.5723 0.00001
252.2068 0.00001
252.8445 0.00001
253.4854 0.00001
254.1296 0.00002
254.7121 0.00002
255.3626 0.00002
256.0163 0.00003
256.6735 0.00003
257.3340 0.00004
257.9313 0.00004
258.5983 0.00005
259.2688 0.00005
259.9428 0.00006
260.5523 0.00006
261.2330 0.00008
261.9172 0.00009
262.6050 0.00011
263.2964 0.00013
263.9218 0.00017
264.6202 0.00020
265.3223 0.00025
266.0281 0.00031
266.6666 0.00038
267.3796 0.00047
268.0965 0.00060
268.8172 0.00074
269.5417 0.00092
270.1972 0.00113
270.9292 0.00132
271.6653 0.00153
272.4053 0.00177
273.1494 0.00201
273.8225 0.00230
274.5744 0.00268
275.3303 0.00307
276.0905 0.00348
276.7783 0.00396
277.5464 0.00453
278.3189 0.00507
279.0957 0.00559
279.8768 0.00621
280.5836 0.00697
281.3731 0.00754
282.1670 0.00844
282.9654 0.00955
283.7684 0.01048
284.4950 0.01256
285.3067 0.01634
286.1230 0.01812
286.9440 0.02335
287.6869 0.02819
288.5170 0.03464
289.3518 0.04130
290.1915 0.04929
291.0360 0.05732
291.8004 0.06741
292.6543 0.08270
293.5133 0.10381
294.3773 0.13014
295.2465 0.16145
296.0331 0.19542
296.9121 0.22868
297.7963 0.25170
298.6857 0.26717
299.4908 0.28083
300.3905 0.29455
301.2955 0.30391
302.2061 0.31061
303.1221 0.32132
303.9513 0.32388
304.8780 0.32109
305.8103 0.31918
306.7484 0.31984
307.6923 0.32463
308.5467 0.32063
309.5017 0.33291
310.4625 0.34320
311.4294 0.34890
312.3048 0.35046
313.2832 0.35657
314.2677 0.36237
315.2585 0.35776
316.2555 0.35507
317.1582 0.35149
318.1673 0.34248
319.1828 0.34119
320.2049 0.34560
321.1303 0.36428
322.1649 0.38431
323.2062 0.40796
324.2542 0.41578
325.3090 0.42186
326.2642 0.40761
327.3322 0.40326
328.4072 0.39142
329.4892 0.38587
330.5785 0.39067
331.5649 0.40019
332.6679 0.40424
333.7783 0.41623
334.8961 0.42096
335.9086 0.42298
337.0407 0.42313
338.1805 0.42180
339.3281 0.41595
340.4834 0.41528
341.5300 0.41588
342.7004 0.41873
343.8789 0.43050
345.0655 0.43349
346.2603 0.42562
347.3428 0.41191
348.5535 0.41003
349.7726 0.40044
351.0003 0.40277
352.1126 0.41903
353.3568 0.44182
354.6099 0.46432
355.8718 0.46624
357.1428 0.47049
358.2945 0.46207
359.5828 0.43854
360.8805 0.42684
362.1876 0.42081
363.5041 0.41906
364.6973 0.42742
366.0322 0.43068
367.3769 0.44467
368.7315 0.44688
369.9593 0.45143
371.3330 0.45600
372.7171 0.46244
374.1114 0.45634
375.5163 0.44884
376.7897 0.44323
378.2148 0.43976
379.6507 0.43837
381.0975 0.43559
382.5554 0.43465
383.8771 0.44246
385.3564 0.43288
386.8471 0.42188
388.3495 0.40977
389.7116 0.40445
391.2363 0.39837
392.7729 0.39851
394.3217 0.38476
395.8828 0.37173
397.2983 0.34048
398.8831 0.31508
400.4805 0.27531
402.0908 0.24167
403.7141 0.20541
405.1863 0.18135
406.8348 0.15024
408.4967 0.13046
410.1722 0.11376
411.6920 0.09755
413.3939 0.08052
415.1100 0.06647
416.8403 0.03232
418.5851 0.01511
420.1680 0.00885
421.9409 0.00579
423.7288 0.00407
425.5319 0.00290
427.1678 0.00219
429.0004 0.00172
430.8487 0.00134
432.7131 0.00104
434.5936 0.00083
436.3001 0.00067
438.2120 0.00055
440.1408 0.00048
442.0866 0.00044
444.0497 0.00038
445.8314 0.00033
447.8280 0.00028
449.8425 0.00024
451.8752 0.00021
453.7205 0.00018
455.7885 0.00017
457.8754 0.00016
459.9816 0.00016
462.1072 0.00015
464.0371 0.00014
466.2004 0.00013
468.3840 0.00012
470.5882 0.00011
472.8132 0.00010
