# w_um p
108.5003 0.00000
109.5003 0.00001
110.5003 0.00004
111.5003 0.00013
112.5003 0.00034
113.5003 0.00083
114.5003 0.00147
115.5003 0.00222
116.5003 0.00296
117.5003 0.00465
118.5003 0.00706
119.5003 0.01112
120.5003 0.01676
121.5003 0.02523
122.5003 0.03724
123.5003 0.05419
124.5003 0.07840
125.5003 0.10965
126.5003 0.14856
127.5003 0.19225
128.5003 0.24045
129.5003 0.28906
130.5003 0.33017
131.5003 0.36173
132.5003 0.37720
133.5003 0.38189
134.5003 0.37835
135.5003 0.37506
136.5003 0.38643
137.5003 0.40228
138.5003 0.41126
139.5003 0.41999
140.5003 0.42534
141.5003 0.42404
142.5003 0.42788
143.5003 0.42739
144.5003 0.42558
145.5003 0.43032
146.5003 0.43246
147.5003 0.43949
148.5003 0.44553
149.5003 0.44789
150.5003 0.45250
151.5003 0.44928
152.5003 0.45471
153.5003 0.45264
154.5003 0.45735
155.5003 0.45458
156.5003 0.45394
157.5003 0.44849
158.5003 0.44463
159.5003 0.43638
160.5003 0.43012
161.5003 0.42141
162.5003 0.41720
163.5003 0.40938
164.5003 0.40309
165.5003 0.39070
166.5003 0.38299
167.5003 0.37045
168.5003 0.36647
169.5003 0.35627
170.5003 0.35277
171.5003 0.34975
172.5003 0.34848
173.5003 0.34940
174.5003 0.34517
175.5003 0.34637
176.5003 0.34241
177.5003 0.34259
178.5003 0.33924
179.5003 0.33513
180.5003 0.33720
181.5003 0.33628
182.5003 0.33944
183.5003 0.34192
184.5003 0.33707
185.5003 0.33741
186.5003 0.33766
187.5003 0.33890
188.5003 0.34124
189.5003 0.33742
190.5003 0.33464
191.5003 0.33269
192.5003 0.32710
193.5003 0.32246
194.5003 0.31530
195.5003 0.30231
196.5003 0.29155
197.5003 0.28277
198.5003 0.27172
199.5003 0.26167
200.5003 0.24986
201.5003 0.23416
202.5003 0.22088
203.5003 0.20922
204.5003 0.19410
205.5003 0.17872
206.5003 0.16635
207.5003 0.15198
208.5003 0.13513
209.5003 0.12348
210.5003 0.11342
211.5003 0.10333
212.5003 0.09421
213.5003 0.08522
214.5003 0.07609
215.5003 0.06778
216.5003 0.06088
217.5003 0.05463
218.5003 0.04847
219.5003 0.04333
220.5003 0.03870
221.5003 0.03441
222.5003 0.03062
223.5003 0.02766
224.5003 0.02516
225.5003 0.02248
226.5003 0.02000
227.5003 0.01790
228.5003 0.01628
229.5003 0.01459
230.5003 0.01298
231.5003 0.01153
232.5003 0.01039
233.5003 0.00940
234.5003 0.00853
235.5003 0.00776
236.5003 0.00708
237.5003 0.00647
238.5003 0.00589
239.5003 0.00534
240.5003 0.00494
241.5003 0.00456
242.5003 0.00417
243.5003 0.00372
244.5003 0.00339
245.5003 0.00316
246.5003 0.00294
247.5003 0.00269
248.5003 0.00243
249.5003 0.00224
250.5003 0.00208
251.5003 0.00194
252.5003 0.00180
253.5003 0.00167
254.5003 0.00155
255.5003 0.00146
256.5003 0.00138
257.5003 0.00128
258.5003 0.00119
259.5003 0.00111
260.5003 0.00104
261.5003 0.00097
262.5003 0.00089
263.5003 0.00081
264.5003 0.00075
265.5003 0.00069
266.5003 0.00064
267.5003 0.00059
268.5003 0.00053
269.5003 0.00048
270.5003 0.00043
271.5003 0.00040
272.5003 0.00037
273.5003 0.00035
274.5003 0.00032
275.5003 0.00029
276.5003 0.00026
277.5003 0.00025
278.5003 0.00024
279.5003 0.00022
280.5003 0.00021
281.5003 0.00019
282.5003 0.00018
283.5003 0.00017
284.5003 0.00015
285.5003 0.00015
286.5003 0.00014
287.5003 0.00012
288.5003 0.00011
289.5003 0.00010
290.5003 0.00009
291.5003 0.00009
292.5003 0.00008
293.5003 0.00007
294.5003 0.00006
295.5003 0.00006
296.5003 0.00006
297.5003 0.00006
298.5003 0.00006
299.5003 0.00007
300.5003 0.00007
301.5003 0.00006
302.5003 0.00006
303.5003 0.00006
304.5003 0.00006
305.5003 0.00007
306.5003 0.00006
307.5003 0.00006
308.5003 0.00006
309.5003 0.00005
310.5003 0.00005
311.5003 0.00005
312.5003 0.00005
313.5003 0.00004
314.5003 0.00004
315.5003 0.00004
316.5003 0.00004
317.5003 0.00004
318.5003 0.00003
319.5003 0.00003
320.5003 0.00003
321.5003 0.00003
322.5003 0.00003
323.5003 0.00003
324.5003 0.00002
325.5003 0.00002
326.5003 0.00002
327.5003 0.00002
328.5003 0.00002
329.5003 0.00002
330.5003 0.00002
331.5003 0.00001
332.5003 0.00001
333.5003 0.00001
334.5003 0.00001
335.5003 0.00001
336.5003 0.00001
337.5003 0.00001
338.5003 0.00001
339.5003 0.00001
340.5003 0.00001
341.5003 0.00001
342.5003 0.00001
343.5003 0.00001
344.5003 0.00001
345.5003 0.00001
346.5003 0.00001
347.5003 0.00001
348.5003 0.00001
349.5003 0.00001
350.5003 0.00002
351.5003 0.00002
352.5003 0.00002
353.5003 0.00002
354.5003 0.00002
355.5003 0.00002
356.5003 0.00002
357.5003 0.00002
358.5003 0.00002
359.5003 0.00002
360.5003 0.00002
361.5003 0.00002
362.5003 0.00002
363.5003 0.00001
364.5003 0.00001
365.5003 0.00001
366.5003 0.00001
367.5003 0.00001
368.5003 0.00001
369.5003 0.00001
370.5003 0.00001
371.5003 0.00001
372.5003 0.00000
