#    wavelength_obsframe_um         flux_obsframe_mJy
               0.0244560000          1.0737700000e-26
               0.0244672650          1.0737700000e-26
               0.0244785352          1.0737700000e-26
               0.0244898106          1.0737700000e-26
               0.0245010911          1.0737700000e-26
               0.0245123769          1.0737700000e-26
               0.0245236679          1.0737700000e-26
               0.0245349640          1.0737700000e-26
               0.0245462654          1.0737700000e-26
               0.0245575720          1.0737700000e-26
               0.0245688838          1.0737700000e-26
               0.0245802008          1.0737700000e-26
               0.0245915230          1.0737700000e-26
               0.0246028504          1.0737700000e-26
               0.0246141830          1.0737700000e-26
               0.0246255209          1.0737700000e-26
               0.0246368640          1.0737700000e-26
               0.0246482123          1.0737700000e-26
               0.0246595658          1.0737700000e-26
               0.0246709246          1.0737700000e-26
               0.0246822886          1.0737700000e-26
               0.0246936578          1.0737700000e-26
               0.0247050323          1.0737700000e-26
               0.0247164120          1.0737700000e-26
               0.0247277969          1.0737700000e-26
               0.0247391871          1.0737700000e-26
               0.0247505826          1.0737700000e-26
               0.0247619833          1.0737700000e-26
               0.0247733892          1.0737700000e-26
               0.0247848004          1.0737700000e-26
               0.0247962168          1.0737700000e-26
               0.0248076386          1.0737700000e-26
               0.0248190655          1.0737700000e-26
               0.0248304978          1.0737700000e-26
               0.0248419353          1.0737700000e-26
               0.0248533780          1.0737700000e-26
               0.0248648261          1.0737700000e-26
               0.0248762794          1.0737700000e-26
               0.0248877380          1.0737700000e-26
               0.0248992018          1.0737700000e-26
               0.0249106710          1.0737700000e-26
               0.0249221454          1.0737700000e-26
               0.0249336251          1.0737700000e-26
               0.0249451101          1.0737700000e-26
               0.0249566004          1.0737700000e-26
               0.0249680960          1.0737700000e-26
               0.0249795969          1.0737700000e-26
               0.0249911031          1.0737700000e-26
               0.0250026146          1.0737700000e-26
               0.0250141313          1.0737700000e-26
               0.0250256534          1.0737700000e-26
               0.0250371808          1.0737700000e-26
               0.0250487135          1.0737700000e-26
               0.0250602515          1.0737700000e-26
               0.0250717949          1.0737700000e-26
               0.0250833435          1.0737700000e-26
               0.0250948975          1.0737700000e-26
               0.0251064568          1.0737700000e-26
               0.0251180214          1.0737700000e-26
               0.0251295913          1.0737700000e-26
               0.0251411666          1.0737700000e-26
               0.0251527472          1.0737700000e-26
               0.0251643331          1.0737700000e-26
               0.0251759244          1.0737700000e-26
               0.0251875210          1.0737700000e-26
               0.0251991230          1.0737700000e-26
               0.0252107303          1.0737700000e-26
               0.0252223429          1.0737700000e-26
               0.0252339609          1.0737700000e-26
               0.0252455842          1.0737700000e-26
               0.0252572129          1.0737700000e-26
               0.0252688470          1.0737700000e-26
               0.0252804864          1.0737700000e-26
               0.0252921312          1.0737700000e-26
               0.0253037813          1.0737700000e-26
               0.0253154368          1.0737700000e-26
               0.0253270977          1.0737700000e-26
               0.0253387639          1.0737700000e-26
               0.0253504356          1.0737700000e-26
               0.0253621126          1.0737700000e-26
               0.0253737949          1.0737700000e-26
               0.0253854827          1.0737700000e-26
               0.0253971758          1.0737700000e-26
               0.0254088744          1.0737700000e-26
               0.0254205783          1.0737700000e-26
               0.0254322876          1.0737700000e-26
               0.0254440023          1.0737700000e-26
               0.0254557224          1.0737700000e-26
               0.0254674479          1.0737700000e-26
               0.0254791788          1.0737700000e-26
               0.0254909151          1.0737700000e-26
               0.0255026568          1.0737700000e-26
               0.0255144039          1.0737700000e-26
               0.0255261564          1.0737700000e-26
               0.0255379143          1.0737700000e-26
               0.0255496777          1.0737700000e-26
               0.0255614465          1.0737700000e-26
               0.0255732206          1.0737700000e-26
               0.0255850003          1.0737700000e-26
               0.0255967853          1.0737700000e-26
               0.0256085758          1.0737700000e-26
               0.0256203717          1.0737700000e-26
               0.0256321730          1.0737700000e-26
               0.0256439798          1.0737700000e-26
               0.0256557920          1.0737700000e-26
               0.0256676096          1.0737700000e-26
               0.0256794327          1.0737700000e-26
               0.0256912613          1.0737700000e-26
               0.0257030953          1.0737700000e-26
               0.0257149347          1.0737700000e-26
               0.0257267796          1.0737700000e-26
               0.0257386299          1.0737700000e-26
               0.0257504857          1.0737700000e-26
               0.0257623470          1.0737700000e-26
               0.0257742137          1.0737700000e-26
