#  wavelength_um     transmission
#
      1.8619e+00    0.000000e+00
      1.8649e+00    0.000000e+00
      1.8679e+00    0.000000e+00
      1.8709e+00    0.000000e+00
      1.8739e+00    0.000000e+00
      1.8769e+00    0.000000e+00
      1.8799e+00    0.000000e+00
      1.8829e+00    0.000000e+00
      1.8859e+00    0.000000e+00
      1.8889e+00    0.000000e+00
      1.8919e+00    0.000000e+00
      1.8949e+00    0.000000e+00
      1.8979e+00   -8.334740e-08
      1.9009e+00    2.616107e-07
      1.9039e+00    9.512144e-07
      1.9069e+00    4.026640e-06
      1.9099e+00    8.171693e-06
      1.9129e+00    2.474908e-06
      1.9159e+00    8.316207e-06
      1.9189e+00    5.703880e-05
      1.9219e+00    6.060427e-05
      1.9249e+00    9.237620e-05
      1.9279e+00    5.006542e-05
      1.9309e+00    1.005465e-04
      1.9339e+00    2.967429e-04
      1.9369e+00    3.708890e-04
      1.9399e+00    4.353222e-04
      1.9429e+00    1.251910e-03
      1.9459e+00    1.565018e-03
      1.9489e+00    2.405626e-03
      1.9520e+00    3.715644e-03
      1.9550e+00    3.873345e-03
      1.9580e+00    4.383360e-03
      1.9610e+00    9.055377e-03
      1.9640e+00    1.015751e-02
      1.9670e+00    1.584856e-02
      1.9700e+00    2.398618e-02
      1.9730e+00    2.689430e-02
      1.9760e+00    3.995914e-02
      1.9790e+00    4.501885e-02
      1.9820e+00    6.428729e-02
      1.9850e+00    8.720747e-02
      1.9880e+00    9.475260e-02
      1.9910e+00    1.100104e-01
      1.9940e+00    1.297752e-01
      1.9970e+00    1.204576e-01
      2.0000e+00    9.869350e-02
      2.0030e+00    7.082617e-02
      2.0060e+00    9.213917e-02
      2.0090e+00    1.551492e-01
      2.0120e+00    1.314996e-01
      2.0150e+00    1.326537e-01
      2.0180e+00    1.580399e-01
      2.0210e+00    1.992835e-01
      2.0240e+00    2.421243e-01
      2.0270e+00    2.746189e-01
      2.0300e+00    2.908374e-01
      2.0330e+00    3.039367e-01
      2.0360e+00    3.167312e-01
      2.0390e+00    3.097093e-01
      2.0420e+00    3.173339e-01
      2.0450e+00    3.197741e-01
      2.0480e+00    3.041399e-01
      2.0510e+00    2.657464e-01
      2.0541e+00    2.457443e-01
      2.0571e+00    2.586099e-01
      2.0601e+00    3.018926e-01
      2.0631e+00    2.681851e-01
      2.0661e+00    2.713107e-01
      2.0691e+00    2.862052e-01
      2.0721e+00    3.029275e-01
      2.0751e+00    3.218721e-01
      2.0781e+00    3.326428e-01
      2.0811e+00    3.484908e-01
      2.0841e+00    3.389750e-01
