# COLDARRI   COLDARRX   COLDARRY   COLDARRZ
#
       486       4.70         90    87.0571
       487       3.30        235    8.25301
       488       4.50         95    101.115
       490       3.00        185    144.545
       491       2.70        270    3.77318
       492       3.40         30    18.8541
       496       4.00        225    63.4576
       498       5.50        260     89.453
       499       3.30        195    87.5765
       500       2.60        180    5.48663
       501       3.10        175    25.4819
       502       2.70        135    11.5159
       503       3.10         30    26.2293
       504       2.50        175    50.9845
       505       2.40         50    43.8088
       506       2.20         55    47.2468
       509       3.60         25    20.4807
       510       5.20        260    86.8813
       511       2.70        130    7.15203
       513       2.00        115    52.2799
       514       3.20        200    83.7995
       518       3.10        240    39.1258
       519       3.80         45    64.0316
       520       5.10        300    86.3831
       522       3.80        260    59.7954
       524       5.30        215    89.9531
       525       3.00         65    14.8985
       526       2.30        180    18.5512
       533       3.60        105    85.3159
       534       4.40        100    76.0123
       535       5.40        245     84.929
       537       2.60        200    178.058
       539       5.20        255    89.0559
       542       4.00        175    59.2784
       544       4.80        255    72.6045
       545       2.00        300    13.1977
       546       3.00         50    10.1058
       547       3.70        260    94.1965
       550       2.00        165    8.86833
       551       2.70        210    23.1087
       553       3.50        185    86.9146
       556       4.90        155    86.1381
       558       4.40        160    76.4746
       560       4.60        220    85.5718
       561       4.90        190    87.7825
       562       5.80        220    106.012
       563       4.90         25    69.3748
       564       4.30        250    73.9379
       565       5.10        130     86.489
       566       2.30        290    92.3701
       568       2.00        185    36.3181
       570       4.30        220     74.972
       573       4.00         60    28.9434
       574       5.10        105    84.8887
       575       4.10        120    60.1561
       576       4.00        125    56.7659
       577       4.20         40    29.4527
       578       3.40        295    18.7153
       579       3.90        300    78.6182
       580       3.20        285     8.0612
       581       2.30        285     9.7079
       583       5.50        150    97.7361
       584       4.30         55    55.8355
       586       3.80         95    56.8724
       587       2.70        135    11.0178
       591       4.10        180     66.224
       594       3.80        200    42.2086
       595       2.60         70     12.222
       596       5.10        285    89.5942
       597       4.30         85    69.0281
       602       5.90        255    107.939
       603       3.30        215    80.5976
       604       3.30         60    7.81189
       609       3.40        215    95.4633
       611       2.70         25    53.8975
       612       3.60        185    90.6201
       616       3.00         55    16.2437
       617       4.60         60    73.7574
       619       5.00        120    84.6648
       622       3.50        160    12.5284
       623       3.00        125    5.07829
       626       5.00         45    80.6915
       631       5.80         85    109.269
       634       4.10         35    33.2232
       636       3.30        235    8.71258
       638       2.30        285    9.64189
       640       5.80        270    102.228
       641       5.00        210    81.2715
       644       2.70        200    5.68207
       646       3.60        245    31.0802
       647       2.00        235    131.697
       648       3.30        210    90.1773
