# COLDARRI   COLDARRX   COLDARRY   COLDARRZ
#
      1642       2.40        160    13.0329
         3       2.60         40     42.493
      2952       3.70         80    12.4698
      7082       2.30        210    5.33781
      8052       2.50        295    3.05897
     10614       2.70        115    4.71817
        14       3.40        285    17.5193
      6673       2.50         35     27.747
     10396       2.40        275    4.21878
      5682       2.10        220    8.60998
      4721       2.10         90    22.2993
      1373       3.30        275    11.1524
      9771       4.50        200    83.5257
        24       3.70        100    14.9536
     14563       2.40        100    9.53786
     10228       4.50         85     74.842
       273       2.50         65    12.2292
        31       5.40        205    88.0635
      2474       2.50        205     10.014
      4901       4.00         40    17.1882
      5937       4.30        235     83.504
     12075       3.10        280    5.20065
      2043       2.30        240    8.51894
     11099       3.00        220    2.71167
        42       2.10        145    9.83421
      6203       4.40         45    52.4986
      3494       2.50        100    13.9407
      9505       4.20         35    25.1567
      2175       3.40        115    5.69503
        58       2.00        285    20.3512
        64       3.60         60    7.65725
        68       2.20        160    9.45703
      6874       2.00        275    9.18671
      3477       4.90        135     70.004
      4176       2.50         60    11.2377
        72       5.50        105    93.9139
      5039       2.80        105    11.9281
      4419       5.00        290    79.7141
        75       3.70        115    20.8904
     12041       3.60        160    18.4237
      1690       5.70        225    92.0339
      9569       5.50         60     94.142
     14102       5.30        125    88.4869
      5086       4.30        275    75.4775
      8520       4.40        135    42.5628
     14948       4.00         30    15.2908
       138       3.60        195    23.1958
      1623       3.60        155    17.6048
      9816       2.30        215     14.533
        91       2.70         75    21.2113
      7178       2.10        105    13.8575
      4484       3.70         35    12.9774
      8030       3.90        105    31.9968
      5034       2.00        180    9.50449
     14495       4.30        265     71.638
      2607       2.50        195    10.7956
      2346       3.80        105    25.5199
     12475       3.90        200    49.6752
      7826       4.90         95    78.2167
      5124       2.40        170     4.6882
     10282       4.10        115     52.992
       116       3.10        160    3.20817
      8787       2.00        215     8.2309
     13129       3.90         95    30.4224
      9235       3.80        135    32.2518
     14674       4.90        125    79.0282
      8582       2.50        135    8.36881
       134       3.40         40    3.31799
     14482       3.80         25    7.59034
