# WARMARRI   WARMARRX   WARMARRY   WARMARRZ
#
      9734       6.50         90    2.66121
      4090       5.80         25    5.78927
     11797       5.20        250    14.2804
       490       3.30         95    144.545
       492       5.70         30    18.8541
       496       6.20        280    63.4576
     12323       3.70        175    63.7253
       500       5.20        150    5.48663
      3378       5.30        300    14.8836
     12255       6.20         50    8.66459
       504       4.40        240    50.9845
      9322       5.60         70    11.1801
     13373       5.70         90    6.66511
      5974       5.50         80    2.31946
       511       5.10         50    7.15203
      2923       3.90        265    51.6635
      4641       3.90         75    47.8125
       522       3.90         40    59.7954
      8986       6.50        205    2.29607
      6006       5.70         40    5.47342
       533       3.70        150    85.3159
      4263       5.30         90    6.55921
       968       5.50         35    5.08498
       537       3.30         60    178.058
      1812       6.20        290    56.2493
     13565       4.90         35    9.82436
     14462       5.20        225    12.1711
      2188       5.10         55    2.29247
       817       4.90        210    23.3482
      9962       4.80         70    6.49974
     10518       4.90        155    9.66049
      8385       3.90        165    72.0306
     14402       6.50        175    4.91792
     14972       6.00         80    13.0668
      8128       6.50        230    2.23637
       563       5.00        135    69.3748
     13870       6.50        165    7.85523
     10337       3.40        240    84.4299
       568       4.70        245    36.3181
     12882       6.30        295     4.5021
      6226       6.20         55    67.2947
      5124       4.80         50     4.6882
     14910       6.40        190    16.7625
      9681       5.30        185    75.3193
      2109       6.50         75    3.52262
      1873       6.20        130    6.21011
      9256       5.60         50    3.52006
      9886       6.50        100    3.90453
      4253       5.10        215     16.828
     12123       6.50        180    2.77607
     13109       6.50        220    4.26815
       595       4.80        100     12.222
      6803       6.50        255    3.48767
       603       4.10        165    80.5976
       609       3.50         25    95.4633
     12239       3.70        185    79.7546
      6219       5.90        105    8.51048
      1484       5.10        100    1.71596
     12159       5.10        140     49.388
     12220       5.90        230    5.83221
      6923       4.20         30     28.535
      7884       6.50        170    4.54835
     10722       6.10        290    14.3831
      2835       3.20        150    131.632
      3772       3.60        175    80.2709
     13147       6.30        120    4.28742
      5089       6.30         65    13.7147
      9755       5.40        115    18.5347
      6017       5.70        245    9.44892
       661       6.20        120     6.6511
     11044       5.40        155    4.38066
     12019       4.90         40    5.44736
      1026       5.80         95    12.1491
       669       5.20        125    5.75235
      9959       4.80         35    22.5667
      1128       4.10         95    49.9912
      4285       3.90        100    57.1445
     12235       6.10        180    8.96474
       680       5.10         70    7.54527
     13550       6.30        280    34.5282
       829       5.90        180      2.745
      6846       5.90         45    8.65629
      1545       6.40        230    11.0695
     13206       5.50        115     4.6369
      3444       5.80         75    14.6859
     13088       6.20         40    10.6056
       715       4.10        135      51.97
      5596       4.10        220    41.1921
      3883       5.50        285    21.8935
     13858       4.80        215    28.5441
      3748       6.00        180    13.2718
     13545       5.00        145     10.988
     13764       4.50         60    14.9764
       740       5.60        185      10.56
      2140       6.30        110    6.12683
       746       4.50        290    61.3469
       749       5.40        190    39.2488
      1136       6.10        230    2.37563
      4929       5.50        120    2.48547
      8574       5.80        195    3.39818
      8680       3.70        235    70.4916
      7982       4.30        220    41.3998
       772       5.00        265    112.629
       773       6.10        295    6.43903
     13509       6.40         50    3.95728
      4702       4.40        280    48.6078
      5460       5.70        170    6.73968
      1846       6.30         25    5.82468
       781       6.20        295    20.3334
       786       5.80        140    5.27754
      2828       5.40         45    10.3787
      3368       5.10         40    17.8467
      6874       5.50        150    9.18671
       795       5.90         95    12.1487
     14270       5.60        140    5.41267
      1199       4.30         85    29.6964
      6161       4.60         35     3.5253
      8076       3.80        175    78.0539
      3519       6.10         70    5.19341
      4835       5.20        130    10.0059
     13083       4.20        245    32.0933
      9284       5.40        105     6.7934
       834       5.00        125    9.01319
      2824       5.90        215    2.31017
      2877       4.20        240    32.0571
       844       6.00         75    12.7217
       845       5.50        215    3.98547
      1881       3.40        220    86.8545
       854       4.20        280    65.5507
       855       6.00        220    22.1703
      5499       5.70         70    7.48172
     11413       6.10        140    3.26649
      3294       5.00        195    17.1032
      1097       4.90        130    13.8642
      2671       5.00         90    5.37703
       865       5.60         60    2.55627
       868       5.90        140    6.94043
      5355       5.50        300    11.2349
      9561       5.20        205    6.92712
       873       6.40        145    9.71779
       878       5.20        145    6.53606
      1693       5.30        155    17.4603
      5354       5.40        215    3.93055
      7896       5.60        160    32.0039
       900       4.80        265    46.6155
       901       3.10        230    120.766
      8582       5.30        100    8.36881
      7625       4.20        115    40.7225
      6196       5.20        160    11.1652
     10362       5.40        210    35.0883
      3971       4.50         25    20.1728
      3743       4.60        195    38.5641
     13101       5.60        130    6.09068
      9333       6.20         45     9.1232
     13159       4.90         30    14.3104
      4881       4.30         90    31.3238
       925       3.90        260    60.4667
      5681       3.80        265    59.1725
