# WARMARRI   WARMARRX   WARMARRY   WARMARRZ
#
       432       5.30         95    30.5322
       435       5.30        135    89.4449
       436       6.50        190     35.025
       438       3.50        235     91.964
       439       5.20         35    80.8215
       440       5.30         55    79.4747
       441       4.90        115    15.4484
       443       5.30         95    3.52274
       444       6.50        215     88.773
       447       6.30        140    54.0835
       450       6.50        210    35.2413
       451       5.90         40    85.4243
       452       4.60        250    77.0519
       453       6.50        115    58.8714
       454       5.10        230    13.1136
       455       6.10         65     76.329
       456       5.50         75    89.0007
       457       4.70         60    9.15917
       461       4.90        245    59.6174
       462       6.50        265    2.87477
       465       5.50        270    92.7322
       466       6.50        285    12.6426
       468       4.80        250    33.9723
       469       6.50        115    20.2871
       470       6.50        280    81.1841
       472       5.30        235    10.5609
       473       5.40         50    85.7205
       475       6.50        300    67.2049
       476       5.40        280    12.6313
       477       6.10        215    81.8674
       478       6.50        135    28.8235
       480       6.00        290    6.42476
       481       3.30        255    94.8974
       482       5.90        165    4.20599
       483       5.10        155    81.4891
       485       6.50         90    39.8903
       486       5.50        245    87.0571
       487       5.80         25    8.25301
       488       5.20        250    101.115
       490       3.30         95    144.545
       491       6.50         40    3.77318
       492       5.70         30    18.8541
       496       6.20        280    63.4576
       498       5.60         45     89.453
       499       3.70        175    87.5765
       500       5.20        150    5.48663
       501       5.30        300    25.4819
       502       6.20         50    11.5159
       503       6.40        105    26.2293
       504       4.40        240    50.9845
       505       5.60         70    43.8088
       506       5.70         90    47.2468
       509       6.50        110    20.4807
       510       5.50         80    86.8813
       511       5.10         50    7.15203
       513       3.90        295    52.2799
       514       3.90        265    83.7995
       518       4.60         85    39.1258
       519       3.90         75    64.0316
       520       6.50         80    86.3831
       522       3.90         40    59.7954
       524       6.50        205    89.9531
       525       6.50         30    14.8985
       526       5.70         40    18.5512
       533       3.70        150    85.3159
       534       5.30         90    76.0123
       535       5.50         35     84.929
       537       3.30         60    178.058
       539       6.50        160    89.0559
       542       6.20        290    59.2784
       544       4.90         35    72.6045
       545       5.20        225    13.1977
       546       5.10         55    10.1058
       547       4.90        210    94.1965
       550       4.80         70    8.86833
       551       4.90        155    23.1087
       553       3.90        165    86.9146
       556       6.50        175    86.1381
       558       6.00         80    76.4746
       560       6.50        230    85.5718
       561       6.50        290    87.7825
       562       6.50         70    106.012
       563       5.00        135    69.3748
       564       6.50         60    73.9379
       565       6.50        165     86.489
       566       3.40        240    92.3701
       568       4.70        245    36.3181
       570       6.50         80     74.972
       573       6.30        295    28.9434
       574       6.20         55    84.8887
       575       6.50        300    60.1561
       576       4.80         50    56.7659
       577       6.50         40    29.4527
       578       6.40        190    18.7153
       579       5.30        185    78.6182
       580       6.50         75     8.0612
       581       6.20        130     9.7079
       583       5.60         50    97.7361
       584       6.50        100    55.8355
       586       5.10        215    56.8724
       587       6.50        180    11.0178
       591       6.50        220     66.224
       594       6.50        135    42.2086
       595       4.80        100     12.222
       596       6.50        230    89.5942
       597       6.50        255    69.0281
       602       6.00         80    107.939
       603       4.10        165    80.5976
       604       6.50        195    7.81189
       609       3.50         25    95.4633
       611       6.50         70    53.8975
       612       3.70        185    90.6201
       616       5.90        105    16.2437
       617       6.50        225    73.7574
       619       5.10        100    84.6648
       622       6.50        190    12.5284
       623       6.50        155    5.07829
       626       5.10        140    80.6915
       631       5.90        230    109.269
       634       4.20         30    33.2232
       636       6.20         50    8.71258
       638       6.50        245    9.64189
       640       6.50         55    102.228
       641       5.10         55    81.2715
       644       6.50        170    5.68207
       646       6.10        290    31.0802
       647       3.20        150    131.697
       648       3.60        175    90.1773
       649       6.30        120    20.5987
       650       6.30         65     21.023
       652       5.40        115    84.8699
       655       5.10         35    70.5875
       656       5.70        245    10.6263
       659       6.50        300    5.29683
       661       6.20        120     6.6511
       665       5.40        155    90.2351
       667       4.90         40    16.4429
       668       5.80         95    40.1823
       669       5.20        125    5.75235
       670       4.80         35    69.1054
       672       3.40        255    89.7606
       673       4.10         95    55.2756
       674       3.90        100    76.1845
       675       5.90         70    102.635
       678       6.10        180    21.3022
       679       6.50        220     5.7357
       680       5.10         70    7.54527
       683       6.30        280    91.2548
       685       5.90         40    29.0111
       688       5.90        205    8.21784
       690       5.90        180    91.2339
       691       5.90         45     76.757
       693       6.50        150     62.284
       697       4.90         35    51.0586
       700       6.40        230    21.7449
       701       5.50        115     90.648
       702       5.80         75    93.9738
       707       6.50         25    18.5219
       712       4.50        215    66.3105
       714       6.20         40    13.8241
       715       4.10        135      51.97
       720       6.50        185     48.406
       724       4.10        220    66.4865
       728       5.50        285    90.3436
       731       6.50        160    68.5312
       734       6.20        175    7.55706
       735       6.50        265    78.2993
       736       4.80        215    30.5399
       737       6.00        180    45.6108
       738       5.00        145    30.5019
       739       4.50         60      16.83
       740       5.60        185      10.56
       742       6.30        110    54.3033
       744       6.50         35    6.44767
       746       4.50        290    61.3469
       748       6.50        240    10.9918
       749       5.40        190    39.2488
       755       6.50        170    30.3309
       758       6.10        230    25.4512
       761       6.50         95    64.6649
       764       5.50        120    90.9126
       765       5.80        195    33.1848
       766       5.40        235    6.69122
       768       6.50        210    76.9412
       769       3.70        235    89.6756
       770       4.30        220    57.6991
       771       6.50         50    8.38447
       772       5.00        265    112.629
       773       6.10        295    6.43903
       774       6.40         50    51.9335
       775       4.40        280    63.6323
       776       5.70        170    58.2786
       777       6.30         25    14.5655
       781       6.20        295    20.3334
       784       6.50        145    85.3418
       786       5.80        140    5.27754
       787       5.40         45      55.53
       788       5.10         40    71.5397
       789       5.50        150    79.0989
       790       6.50        130    5.18576
       795       5.90         95    12.1487
       798       5.60        140    89.5515
       800       6.50        185    56.9573
       801       6.50        300    70.6996
       805       4.30         85    31.2723
       813       4.60         35    28.3568
       814       3.80        175     79.719
       817       4.90        210    23.3482
       818       4.70         25    36.6475
       822       6.50        230    22.1002
       823       6.10         70    66.8368
       827       5.20        130    87.4203
       828       5.60         50    86.5358
       829       5.90        180      2.745
       830       4.80        215     33.647
       831       5.40        235    88.4174
       832       4.20        245    58.7176
       833       5.40        105     25.159
       834       5.00        125    9.01319
       836       6.50         65    89.3164
       837       5.90        215    89.5392
       840       4.20        240      82.79
       844       6.00         75    12.7217
       845       5.50        215    3.98547
       847       5.60         50    96.7132
       848       6.50         30    32.7626
       850       3.40        220    91.4758
       852       6.50        180    5.41366
       854       4.20        280    65.5507
       855       6.00        220    22.1703
       856       5.70         70     71.184
       858       6.10        140    77.4068
       859       5.00        195    23.8578
       860       4.90        130    68.1607
       861       6.50        230    83.1098
       863       5.00         90    78.1934
       864       6.50        195    85.6264
       865       5.60         60    2.55627
       866       5.90        140    34.3934
       867       5.50        300    87.0327
       868       5.90        140    6.94043
       869       4.40        125    61.0705
       872       5.20        205     84.928
       873       6.40        145    9.71779
       876       6.50         55    102.861
       878       5.20        145    6.53606
       881       5.40         25    12.2455
       884       6.50        225    90.1258
       885       6.50        145    30.0594
       886       5.30        155    88.6397
       887       5.40        215     6.1859
       888       6.50        105    13.1225
       889       4.90         25    69.3365
       891       6.50         80    8.78985
       892       6.50        215     35.343
       893       6.50        185    85.9164
       895       5.60        160      79.73
       900       4.80        265    46.6155
       901       3.10        230    120.766
       903       5.30        100    9.01631
       906       3.40        240    96.2108
       907       4.20        115    64.4922
       908       6.50        290    29.0011
       912       5.20        160    57.3654
       913       5.40        210    91.2054
       914       6.50        230    56.5958
       915       4.50         25    36.9652
       918       4.60        195    78.2863
       919       5.60        130    12.8552
       920       6.20         45    33.8602
       921       4.90         30    72.6745
       923       4.30         90     49.507
       925       3.90        260    60.4667
       926       3.80        265    96.1682
       930       5.60        265    6.85462
       931       6.50        285    89.1652
       932       5.50         55    87.1683
       933       3.40        160    103.536
       935       6.50        165    18.6211
       937       3.20        140    135.784
       941       6.50        215     7.5448
       942       6.50         55    67.9906
       946       6.50        220    38.6772
       947       4.70        210    132.389
       948       5.50        265    8.11065
       950       6.50         35    98.5857
       951       5.40        140    72.8973
       952       6.50         35    38.2424
       953       5.40        195    89.9397
       954       3.50        190    91.2035
       956       5.50        290    88.2057
       957       5.70        125    9.17279
       960       3.80        110     72.566
       962       5.20        125    86.0717
       964       6.50        290    62.9897
       967       4.90        255    90.0495
       968       5.50         35    5.08498
       969       4.50         95    52.5717
       970       4.70        120    61.1172
       971       4.60        220    49.7646
       972       5.30        155    87.5189
       973       5.70         95    33.8211
       976       5.40        255    41.6883
       977       6.50        215    60.1079
       979       6.30         75    32.4896
       980       5.40         80    50.6757
       982       5.40         45    43.7561
       983       6.50        225    78.6157
       984       5.10         75    24.1348
       987       6.30         85    86.0056
       988       4.00        165    50.7979
       990       5.20        155    85.2022
       991       6.50         35    69.5398
       993       6.50        170    9.64349
       994       4.30        105    26.3465
       995       4.10         85    50.7518
       999       3.50         35    187.357
      1002       6.50         90    80.3685
      1003       5.50        230    30.8935
      1004       4.00        100    75.2549
      1005       6.50        225    85.2128
      1006       5.50        125    42.6076
      1007       6.50        255    50.8545
      1009       6.10        190    10.9061
      1010       6.50         60    8.00441
      1011       6.50        135     12.125
      1016       6.10        120    23.9091
      1017       5.10         25     34.129
      1020       4.60        200    35.9156
      1021       5.60        190    91.2458
      1022       3.40        155    103.154
      1026       5.80         95    12.1491
      1027       6.40        285    86.5893
      1030       3.60        170    73.9653
      1031       6.40        250    12.1176
      1032       5.70         25    70.2031
      1033       4.80         25    13.2878
      1035       5.90         75    26.4874
      1038       3.20        270    101.889
      1039       5.20         90    40.0897
      1043       5.50         90    70.1498
      1044       6.20         60    48.0983
      1046       6.50        175    9.33354
      1047       6.10         80    58.0339
      1048       5.90        260    107.657
      1052       6.50         35    17.8965
      1056       6.10        300    112.314
      1057       6.40         90    86.3045
      1058       4.50        245    51.3468
      1061       5.10        145    3.96769
      1064       3.60        275     91.613
      1066       5.40        200    5.28967
      1067       6.00        135    50.8015
      1069       6.50        120    28.7265
      1070       5.30         25    9.21285
      1071       6.30         50    14.1206
      1074       4.10        235     59.855
      1076       5.00        280    31.3283
      1077       6.50        265    52.5117
      1078       6.50        210    20.6437
      1079       3.80        300    60.9011
      1081       4.80        295    40.0877
      1083       5.90         50    80.0408
      1084       6.50        175     88.768
      1085       5.40         55    87.6137
      1086       5.70        300      69.95
      1087       6.50        220    91.1429
      1088       3.80        135    69.2797
      1089       6.10         65    13.0593
      1090       6.50        235    6.07491
      1091       6.10        180    85.4909
      1093       5.40         80    24.4019
      1095       5.40        190    88.6316
      1097       4.90        130    13.8642
      1098       6.50         70    84.5518
      1100       6.50         30    92.0174
      1107       5.50         70    79.7648
      1108       3.30        290    97.9652
      1112       5.80         60    45.6616
      1113       6.50        110    86.1652
      1116       4.00         45    44.3416
      1117       5.90         65     45.286
      1120       3.70         45    88.8691
      1121       5.80        175    33.2931
      1122       6.50         60    28.6973
      1123       6.50         60     77.335
      1126       5.80        130    8.28037
      1128       4.10         95    49.9912
      1130       6.50        280    90.2613
      1131       6.00        135    40.1136
      1132       5.10        155    53.8816
      1133       5.90        145    14.9304
      1134       5.90        140    89.6796
      1135       6.50         60     87.147
      1136       6.10        230    2.37563
      1138       5.50        195     3.6031
      1141       5.80        230    92.5827
      1144       3.90        185    59.4149
      1147       6.10        225    13.7548
      1150       5.70        240    80.0225
      1151       4.70        140    72.6012
      1152       4.80        160    67.5796
      1154       5.80        175    4.00118
      1155       6.50        275    23.5471
      1158       4.60        300    92.2102
      1159       6.50         70    42.4187
      1160       5.60        220    15.3557
      1162       5.50         25    18.4228
      1164       6.00         45    66.2883
      1166       4.30         75    88.9485
      1169       5.50         25    37.1222
      1170       5.10         25    8.26755
      1171       6.40         95    27.2212
      1172       5.10        225    79.1882
      1176       5.80        280    92.1782
      1177       5.90        245     83.941
      1178       3.30        160    113.613
      1183       6.50         75     33.032
      1184       4.00         25    92.3349
      1185       3.90         55    55.9167
      1187       5.80         70    7.27128
      1188       3.60        295    73.3449
      1189       6.50        135    26.2024
      1191       6.20        270    17.7839
      1192       4.70        255    37.1687
      1193       6.50         30    95.2799
      1195       6.50        115    88.0468
      1196       6.50        290    56.2278
      1198       4.90        160    24.9884
      1199       4.30         85    29.6964
      1200       6.50        280       78.6
      1201       6.50         80    2.46373
      1203       5.50        170     51.684
      1204       5.30        260    19.5952
      1206       6.50        225    63.2644
      1210       4.00        135    44.7517
      1211       6.30        145    42.7688
      1215       5.80         45    40.2049
      1217       5.40        275    89.3451
      1218       6.50        285    3.15465
      1222       6.50         50    9.54201
      1223       5.00        280     80.167
      1224       4.30        120    45.9771
      1225       6.50        275    27.9097
      1226       4.10         55    45.7414
      1227       4.70        175    36.5127
      1230       4.00         35    53.2577
      1231       6.50        215    91.1316
      1233       6.50        280    89.6046
      1234       5.50        245    92.1274
      1237       5.00         35    28.4731
      1240       5.40        275    19.2117
      1242       6.50        300    30.3478
      1243       6.20        220    82.1444
      1244       4.80        150     24.468
      1245       5.50        160    63.9021
      1249       6.50         75     109.79
      1250       6.50        145      25.93
      1251       3.80        295    56.2976
      1256       4.20        150    48.2482
      1257       6.50        205    84.3861
      1258       3.80        205    70.2807
      1262       4.40         25     25.909
      1263       6.50         85    71.8364
      1265       6.40        195    88.6683
      1267       5.70        250    16.8935
      1269       6.50        240    25.5601
      1271       5.20        230     10.023
      1272       6.50         45    9.93059
      1273       5.80        300    91.5561
      1276       6.50        220    4.44911
      1277       6.50         40    8.30062
      1278       5.80         70    9.60439
      1279       6.30        165    80.6718
      1283       4.20         50    40.7966
      1285       6.50        110    25.8143
      1286       6.50         25    74.6154
      1288       6.50        180    58.9313
      1289       5.60        200    32.0046
      1296       4.10        195    71.8479
      1298       4.90        300    64.5239
      1299       5.20        205    42.0084
      1302       4.20        135     45.258
