#        i0           chi2        i1             a1        i2             a2        T_{kin}        n_{H_2}        M_{H_2}        T_{kin}        n_{H_2}        M_{H_2}
#
     241985        57.0972      1767        13320.4     45923         3.0538             35        125.892    2.98003e+06            285        31622.8    7.48549e+08
    1559471        33.1976     11495        522.095     18829        5.62511             90        501.187    1.18637e+07            130        31622.8    7.48549e+08
       5436         263.58        38              0      5396        970.885             25        158.489    3.75163e+06             55        630.957    1.49355e+07
    3961610        51.4182     29203        7.27194     43662         1.2839            190        7943.28    1.88027e+08            270    2.51189e+06    5.94594e+10
    3887827        104.224     28671        3.79954     12217              0            185         501187    1.18637e+10             90    3.16228e+06    7.48549e+10
    5339435        18.7131     39368        2067.87     37297        2.45953            250        158.489    3.75163e+06            235         125892    2.98003e+09
    3471641        79.2813     25593        45.4164     33611        3.65852            170        1995.26    4.72302e+07            215        12589.2    2.98003e+08
    1747304         99.897     12882        8.39327     14744              0             95         251189    5.94594e+09            105          1e+06    2.36712e+10
    5803727         116.48     42788        2.42248     48925              0            265    2.51189e+06    5.94594e+10            300    3.16228e+06    7.48549e+10
    1629862        96.6263     12008       0.345769     34770        3.17038             90         251189    5.94594e+09            220         398107    9.42367e+09
    4226433        88.0195     31160        2.37885     34067        1.45731            200         100000    2.36712e+09            215    3.16228e+06    7.48549e+10
    5937209         5.3103     43776        832.063     39995        2.08963            275        251.189    5.94594e+06            250         316228    7.48549e+09
    3450316        12.9592     25441        791.386     19988        3.66364            170        316.228    7.48549e+06            135          1e+06    2.36712e+10
    3805080        198.191     28063        1409.77      6232              0            185        316.228    7.48549e+06             60        398.107    9.42367e+06
    1697583        5.25389     12502        50.1352     48925        1.31385             95        2511.89    5.94594e+07            300    3.16228e+06    7.48549e+10
    4119013        91.1124     30362        3.95443     48735              0            195         251189    5.94594e+09            300         316228    7.48549e+09
    5345690        3.11605     39425        568.102      9310        8.69432            250        316.228    7.48549e+06             75         100000    2.36712e+09
     403557        11.6343      2964        51.1825     32319        1.79266             40        6309.57    1.49355e+08            205    3.16228e+06    7.48549e+10
    4508545        17.3095     33250        2309.86     10355        6.96759            215        158.489    3.75163e+06             80         794328    1.88027e+10
    1924405        6.44767     14193        112.436      2527        23.4241            105        1258.92    2.98003e+07             35    1.25892e+06    2.98003e+10
      80118        89.4705       589        72.0474      4978              0             25         125892    2.98003e+09             50         158489    3.75163e+09
    6164464         189.25     45467        5473.82      1824              0            285        125.892    2.98003e+06             35        251.189    5.94594e+06
    4206125        136.886     31008        6.88323     39767              0            200        15848.9    3.75163e+08            250        19952.6    4.72302e+08
    2639979        4.17011     19456        71.0898     40945        1.68432            135        1584.89    3.75163e+07            255         794328    1.88027e+10
     187615        52.6931      1368        53.8682     40717       0.386717             30        39810.7    9.42367e+08            255        50118.7    1.18637e+09
    5097425        38.6821     37582        5398.11     39843        2.47701            240            100    2.36712e+06            250        50118.7    1.18637e+09
    4854011        112.992     35796              0     15713        6.58284            225    2.51189e+06    5.94594e+10            110    3.16228e+06    7.48549e+10
    2415294        84.4199     17803        29.8445     30058     0.00378015            125        5011.87    1.18637e+08            195        6309.57    1.49355e+08
    1176079        109.366      8664        11.6721     27037              0             70    1.58489e+06    3.75163e+10            175    1.99526e+06    4.72302e+10
    5683253        111.114     41914              0     11343        9.04764            260    2.51189e+06    5.94594e+10             85    3.16228e+06    7.48549e+10
    4880800        85.8873     35986        101.361     35264        18.9771            230        630.957    1.49355e+07            225        3981.07    9.42367e+07
    6471999        99.3811     47728              0     20653        6.42375            295        63095.7    1.49355e+09            140        79432.8    1.88027e+09
    1167755        109.339      8607         11.712     15713              0             70         794328    1.88027e+10            110    3.16228e+06    7.48549e+10
    4205089        72.1154     31008        3.39866     20083        3.09873            200        15848.9    3.75163e+08            135    3.16228e+06    7.48549e+10
    2879158        83.5739     21223        38.8046     33554        8.75892            145        1995.26    4.72302e+07            215        6309.57    1.49355e+08
    2442599        82.2503     18012        4.17297     10469        4.60008            125        63095.7    1.49355e+09             80    3.16228e+06    7.48549e+10
    4737263        116.093     34922        2.96689     48925              0            220    2.51189e+06    5.94594e+10            300    3.16228e+06    7.48549e+10
    1346327        8.40084      9918        34.3184     31445        1.88752             80        3981.07    9.42367e+07            200    3.16228e+06    7.48549e+10
    5622252        64.8341     41458           4.11     26980        2.27877            260          10000    2.36712e+08            175          1e+06    2.36712e+10
    3933630        4.59651     29013        154.082      1482        31.4336            190        794.328    1.88027e+07             30         158489    3.75163e+09
    5007137        7.75026     36917        67.7959     37411        1.84836            235        1258.92    2.98003e+07            235         501187    1.18637e+10
    1422266        42.6243     10488        8336.34      5966        12.9315             85            100    2.36712e+06             55         630957    1.49355e+10
    4047401        6.21844     29849        334.234      9595         7.2741            195        501.187    1.18637e+07             75    3.16228e+06    7.48549e+10
    4543716        90.9483     33497        28.1291     42332        1.62839            215        3162.28    7.48549e+07            265          10000    2.36712e+08
     428212        73.0973      3154        31.2519     11324              0             40        63095.7    1.49355e+09             85    2.51189e+06    5.94594e+10
    2166632        4.56037     15979        55.6274      4104        14.6206            115        1995.26    4.72302e+07             45         158489    3.75163e+09
    5839419        8.50109     43054        46.0567     41857        1.45828            270        1584.89    3.75163e+07            260    1.25892e+06    2.98003e+10
    2212539        86.9113     16302         7.7023     44289              0            115         100000    2.36712e+09            275         125892    2.98003e+09
    1669424        28.7433     12312        1512.73      3344        20.6989             95        251.189    5.94594e+06             40         630957    1.49355e+10
    5406409        125.633     39862              0     37259        3.65587            250        63095.7    1.49355e+09            235        79432.8    1.88027e+09
     136983         47.865      1007        1184.26      8645            9.7             30        501.187    1.18637e+07             70    1.25892e+06    2.98003e+10
    4095775        141.921     30191        5.14413     47709              0            195        31622.8    7.48549e+08            295        50118.7    1.18637e+09
     614225        9.25586      4522        531.601     21603        4.29103             50        630.957    1.49355e+07            145         199526    4.72302e+09
    5070065          95.78     37392        3.08422      9443      0.0421423            235         398107    9.42367e+09             75         501187    1.18637e+10
    4184175        98.2271     30856        49.6277     14269              0            200        2511.89    5.94594e+07            105        3162.28    7.48549e+07
    2774786        66.6833     20463              0      8246        27.8207            140        7943.28    1.88027e+08             70          10000    2.36712e+08
     976533        11.2196      7201        159.436      4351        15.9549             65        1258.92    2.98003e+07             45    3.16228e+06    7.48549e+10
    2104591         97.545     15504         7.1089     48925              0            110         251189    5.94594e+09            300    3.16228e+06    7.48549e+10
